Sample	Reads passing filters
SRX384345_1	22935521.0
SRX384345_2	22935521.0
SRX384346_1	21155707.0
SRX384346_2	21155707.0
SRX384349_1	28136282.0
SRX384349_2	28136282.0
SRX384350_1	16823088.0
SRX384350_2	16823088.0
SRX384353_1	27298970.0
SRX384353_2	27298970.0
SRX384354_1	34298260.0
SRX384354_2	34298260.0
SRX384357_1	21275888.0
SRX384357_2	21275888.0
SRX384358_1	23487860.0
SRX384358_2	23487860.0
