[2026-06-26 06:26:12,858] urllib3.connectionpool                             [DEBUG  ]  Starting new HTTPS connection (1): api.multiqc.info:443
[2026-06-26 06:26:13,320] urllib3.connectionpool                             [DEBUG  ]  https://api.multiqc.info:443 "GET /version?version_multiqc=1.33&version_python=3.14.2&operating_system=Linux&is_docker=True&is_singularity=False&is_conda=True&is_uv=False&is_ci=False&is_notebook=False&ai_summary=False&ai_summary_full=False&ai_provider=seqera HTTP/1.1" 200 178
[2026-06-26 06:26:13,320] multiqc.core.version_check                         [WARNING]  MultiQC Version v1.35 now available!
[2026-06-26 06:26:13,320] multiqc.core.version_check                         [DEBUG  ]  Latest MultiQC version is v1.35, released 2026-05-13
[2026-06-26 06:26:13,321] multiqc.multiqc                                    [DEBUG  ]  Working dir : /root/rnaseqde/work/96/1095246f63400ea5299142a31b50b6
[2026-06-26 06:26:13,321] multiqc.multiqc                                    [DEBUG  ]  Template    : default
[2026-06-26 06:26:13,323] multiqc.multiqc                                    [DEBUG  ]  Command used: /opt/conda/bin/multiqc --force --config 1/multiqc_config.yml --config 2/multiqc_sample_merge.yml --filename multiqc_report.html --replace-names name_replacement.txt .
[2026-06-26 06:26:13,323] multiqc.core.file_search                           [INFO   ]  Search path: /root/rnaseqde/work/96/1095246f63400ea5299142a31b50b6
[2026-06-26 06:26:13,323] multiqc.core.file_search                           [INFO   ]  Only using modules: bbmap, custom_content, hisat2, kallisto, kraken, picard, preseq, qualimap, rsem, rseqc, salmon, samtools, sortmerna, star, sylphtax, umicollapse, umitools, fastqc, cutadapt, fastp, seqkit, fastqc, bowtie2, fastqc, bowtie2
[2026-06-26 06:26:13,323] multiqc.core.file_search                           [DEBUG  ]  Analysing modules: bbmap, custom_content, hisat2, kallisto, kraken, picard, preseq, qualimap, rsem, rseqc, salmon, samtools, sortmerna, star, sylphtax, umicollapse, umitools, fastqc, cutadapt, fastp, seqkit, fastqc, bowtie2, fastqc, bowtie2
[2026-06-26 06:26:13,323] multiqc.core.file_search                           [DEBUG  ]  Search keys: bbmap, bowtie2, bowtie2, custom_content, cutadapt, fail_mapped_samples, fail_trimmed_samples, fastp, fastqc, fastqc, fastqc, hisat2, kallisto, kraken, multiqc_data, picard, preseq, qualimap, rsem, rseqc, salmon, samtools, seqkit, software_versions, sortmerna, star, sylphtax, umicollapse, umitools
[2026-06-26 06:26:13,325] multiqc.report                                     [DEBUG  ]  Ignored 281 search patterns that didn't match running modules
[2026-06-26 06:26:13,325] multiqc.report                                     [INFO   ]  Skipping 5 file search patterns
