ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0034105,positive regulation of tissue remodeling,6,0.8345192606123841,1.5513864810269011,0.037107378999692735,0.3809173677599726,0.3352002023287814,974,"tags=50%, list=8%, signal=46%",9475/6093/64114,0.3217759180753611
GO:0002566,somatic diversification of immune receptors via somatic mutation,9,0.7353773357787207,1.551129690176473,0.04865757992904623,0.44456288115749565,0.39120707094080026,16,"tags=11%, list=0%, signal=11%",25939,0.3217759180753611
GO:0016446,somatic hypermutation of immunoglobulin genes,9,0.7353773357787207,1.551129690176473,0.04865757992904623,0.44456288115749565,0.39120707094080026,16,"tags=11%, list=0%, signal=11%",25939,0.3217759180753611
GO:0045109,intermediate filament organization,18,0.6406817242724003,1.550486686911991,0.03652870642269948,0.3809173677599726,0.3352002023287814,2099,"tags=44%, list=16%, signal=37%",5318/3855/5339/1832/3267/1674/10049/3858,0.3217759180753611
GO:0009394,2'-deoxyribonucleotide metabolic process,40,0.5610607660670938,1.5500241802903492,0.01696043339843065,0.26839542987112225,0.23618298878304445,1316,"tags=22%, list=10%, signal=20%",25939/1890/7498/6470/26289/131870/4860/22978/79661,0.35248785758361917
GO:0030258,lipid modification,121,0.4590204249575893,1.5484880377905799,0.007549620132105444,0.20016688761602427,0.17614313997542103,852,"tags=12%, list=7%, signal=12%",247/3952/5166/8660/51422/3632/347/35/9162/55862/1374/3667/9108/23417/64410,0.40701791892395395
GO:0061458,reproductive system development,95,0.4712828879986126,1.5483972109223363,0.008231086542373318,0.20193414955028965,0.17769829762396117,1336,"tags=22%, list=10%, signal=20%",247/3625/3952/10370/3622/1588/283/3624/7026/836/3973/658/57647/6943/2316/5156/5781/3643/5310/4327/1051,0.3807304007227924
GO:0001973,G protein-coupled adenosine receptor signaling pathway,5,-0.8463096399240624,-1.544289158090456,0.027994226164676294,0.3394648242649133,0.2987227346609325,1864,"tags=80%, list=15%, signal=68%",5028/136/100/134,0.35248785758361917
GO:0035588,G protein-coupled purinergic receptor signaling pathway,5,-0.8463096399240624,-1.544289158090456,0.027994226164676294,0.3394648242649133,0.2987227346609325,1864,"tags=80%, list=15%, signal=68%",5028/136/100/134,0.35248785758361917
GO:0009262,deoxyribonucleotide metabolic process,41,0.5494237496168197,1.544227559775175,0.026091949875094802,0.33181015168245215,0.29198676508965693,985,"tags=20%, list=8%, signal=18%",25939/1890/7498/6470/26289/131870/4860/22978,0.35248785758361917
