category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,56/1750,125/5535,0.448,1.41696,3.2059476598942056,0.0012107026251077617,0.00621484180068392,0.00621484180068392,2660/4055/9518/3570/1435/3569/958/1896/6356/3625/55504/4803/60401/3977/8743/7048/151449/8794/3624/8744/768211/4982/10220/53833/133396/6387/23765/3603/83729/6347/58191/55540/8764/2662/8795/3459/6354/85480/3976/7133/130399/8200/9235/658/3952/146433/8742/7042/9966/94/654/91/51554/3592/9180/10673,56
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,48/1750,104/5535,0.46153846153846156,1.4597802197802197,3.218345843911289,0.0012214139955101346,0.00621484180068392,0.00621484180068392,3265/8322/8503/4088/5296/5290/8325/5295/3717/4893/3625/7703/3977/7474/4093/2263/6929/5595/3624/9314/4086/5293/207/6926/5604/3720/5894/8323/5603/2264/3716/8324/1856/83729/6774/5600/4609/8313/3976/5291/130399/84333/658/1432/3480/7472/91/7855,48
Organismal Systems,Digestive system,hsa04970,Salivary secretion,24/1750,44/5535,0.5454545454545454,1.7251948051948052,3.283681004536669,0.0013009842031344724,0.006407191175943173,0.006407191175943173,3778/2776/196883/477/23236/5593/801/2977/114/147/55503/5592/5332/1471/109/476/6522/490/5567/3708/6844/481/3709/107,24
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,60/1750,136/5535,0.4411764705882353,1.3953781512605044,3.1741768261514256,0.0013104289908361694,0.006407191175943173,0.006407191175943173,9446/6655/4233/2949/3265/8322/71/8503/4088/5296/5290/6598/8325/5295/8110/4893/1021/1643/1026/7474/4040/2947/7296/5595/2549/7048/2946/5293/6605/207/4616/5604/5894/83439/8323/3082/5925/5336/53358/1029/8324/1856/60/3162/2475/6603/7157/5728/1728/4609/8313/5291/1019/7042/3480/2002/3481/7472/7855/2941,60
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,81/1750,193/5535,0.41968911917098445,1.3274167283493707,3.147989224222888,0.0013147704436183968,0.006407191175943173,0.006407191175943173,26100/5602/5217/831/71/8454/8503/440738/5296/55054/10627/5290/5295/10092/7414/10318/5879/9844/4792/23236/6093/7334/9265/8878/54874/1729/5595/55062/10241/10163/8976/5581/10096/8678/5293/5332/1147/7314/3688/207/7307/10398/5336/5603/10892/9252/5289/382/7094/8936/834/60/3611/5600/823/2475/7157/3725/2308/10093/87/10097/4193/3708/5291/596/2309/10094/1432/3709/1398/84557/23048/103910/9181/9475/375/51196/81/5970/83660,81
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,40/1750,84/5535,0.47619047619047616,1.506122448979592,3.1780652721241727,0.001468266429809726,0.007055835898807849,0.00705583589880785,7187/5743/836/8503/1286/5296/3915/1285/5290/3912/5295/1021/4792/1643/1026/3914/3655/6502/5293/1147/3688/1030/207/3909/4616/5925/1282/1284/3673/7157/5728/4609/9618/5291/596/1287/1019/3908/3918/5970,40
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,30/1750,59/5535,0.5084745762711864,1.6082324455205812,3.1935191835993693,0.0015558145220958492,0.007374134584180327,0.007374134584180326,5321/247/5743/3265/836/2776/2790/3356/3751/4893/23236/775/1843/4128/5595/4129/2783/2787/5332/54331/59345/5604/5894/8605/10411/5742/5567/3708/3709/2770,30
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,46/1750,100/5535,0.46,1.4549142857142858,3.121299629761395,0.0016672088592983713,0.007795327909692384,0.007795327909692385,7187/5743/5602/836/8503/5296/1435/5290/182/5295/3569/4792/4217/1385/1326/5595/1051/83786/10059/9020/5293/468/1147/5606/207/5604/7128/5603/9252/64764/6347/7424/5600/8837/3725/7412/3976/5291/7133/602/1432/90993/6868/3659/9586/5970,46
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,50/1750,111/5535,0.45045045045045046,1.4247104247104245,3.073266555857648,0.0018795563051543208,0.008671019754445267,0.008671019754445267,6655/5602/3265/3667/3643/8503/4088/5296/5290/5295/3569/10018/6446/4893/6648/1026/8743/5595/7048/23710/6502/604/5293/1147/1030/1901/207/4616/5604/894/114907/5894/5603/51422/6774/5562/847/5600/5934/5728/2308/4193/5291/2309/1432/7042/3480/8660/11345/10769,50
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,46/1750,101/5535,0.45544554455445546,1.4405091937765206,3.0378162896622194,0.0021407318631199795,0.009638574721191959,0.009638574721191959,59/4209/6546/3265/4088/440738/2776/196883/182/2790/4893/4205/23236/801/5595/114/5581/2783/8678/2787/814/5332/54331/6237/59345/207/5604/5894/4854/22800/10014/5289/109/51422/5562/4638/4208/2475/5567/3708/185/3709/84557/8877/107/2770,46
