gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FCHSD1	FCHSD1	525.485	572.508	647.683	435.11	594.429	928.142	410.117	663.292
FCHSD2	FCHSD2	577	531	788.046	526	956	1585.458	635.277	697
FCN1	FCN1	0	1	1	0	0	0	0	0
FCN2	FCN2	0	0	0	0	0	0	0	0
FCN3	FCN3	1	0	0	2	0	1	1	2
FCRL1	FCRL1	0	0	0	0	0	0	0	0
FCRL2	FCRL2	0	0	0	0	0	0	0	0
FCRL3	FCRL3	0	0	0	0	0	0	0	0
FCRL4	FCRL4	0	0	0	0	0	0	0	0
FCRL5	FCRL5	0	0	0	0	0	0	0	0
FCRL6	FCRL6	0	3	1	1	2	6	0	0
FCRLA	FCRLA	1	1	4	1	3	0	2	0
FCRLB	FCRLB	17	12	14	3	7	6	9	9
FDCSP	FDCSP	0	0	0	0	0	0	0	0
FDFT1	FDFT1	997.661	887.742	1171.79	684.102	1059.983	1140.385	775.619	972.351
FDPS	FDPS	855.599	723.917	939.472	526.793	860.728	1020.771	657.628	708.908
FDPSP2	FDPSP2	1	1.003	2	1	4	3	3	1
FDX1	FDX1	231	226	238	158	226	243.107	236.157	265.004
FDX1L	FDX1L	216	180	241	135	250	324	172.006	157
FDXACB1	FDXACB1	42.152	27.155	53.255	27.075	45.525	48.011	45.121	29.293
FDXR	FDXR	1150	569.999	687.148	146	831.238	536.001	525.005	292.005
FECH	FECH	484.003	389	541	341	646	694	497.09	464
FEM1A	FEM1A	383	313	424	233	418	576.007	312.74	355
FEM1B	FEM1B	1349.242	1318.117	1440.48	1027.244	1488	1850	1251	1303.591
FEM1C	FEM1C	726	597.466	675.026	382	708	766	540.238	481
FEN1	FEN1	151	122	135	91.139	145	165.059	97	105
FENDRR	FENDRR	1520	1120.488	1245.16	461	2145	2103.008	1081.026	737
FER	FER	201	143	253	108	267	335	263.007	228.005
FER1L4	FER1L4	71	56	136	64	100	213	104	106
FER1L5	FER1L5	4	4	10	3	8	6	6	5
